"Company","Product_Type","Production_Year","Greenhouse_Gas_Emissions","Pollutants_Emitted","Water_Consumption","Energy_Consumption","Waste_Generation","Sales_Revenue"
"Zara","Polyester",2020,5000,20,7500,1200,300,500000
"Zara","Cotton",2018,2000,10,4500,800,180,550000
"Zara","Synthetic_Blend",2022,6000,25,8000,1500,350,600000
"Zara","Organic_Cotton",2019,2500,12,4000,700,150,420000
"Zara","Polyester",2021,4500,22,7000,1300,280,550000
"Zara","Microfiber",2022,4800,19,6800,1100,270,530000
"Zara","Tencel",2020,3200,14,5500,950,180,490000
"Zara","Viscose",2021,4200,21,6000,1200,250,520000
"Zara","Wool",2018,1800,9,4000,700,160,430000
"Zara","Cotton",2022,2445,11,6997,1197,167,559645
"Adidas","Cotton",2018,4569,9,6409,1267,208,574256
"Forever 21","Linen",2019,5674,22,4779,796,174,592748
"Urban Outfitters","Linen",2021,3551,21,7696,760,192,519345
"Zara","Microfiber",2020,5527,18,5732,1413,337,565691
"Zara","Organic_Cotton",2018,2210,24,6059,1243,190,434910
"Forever 21","Cotton",2022,2125,11,5717,1373,299,568170
"Forever 21","Synthetic_Blend",2018,2900,17,4472,809,340,565024
"Adidas","Synthetic_Blend",2020,3525,19,4833,1403,312,489201
"Adidas","Wool",2019,2642,20,7195,1273,254,582702
"Zara","Linen",2019,3434,23,5432,1012,208,478438
"Zara","Wool",2019,5064,19,5141,771,347,493170
"Nike","Wool",2022,5074,19,7847,728,179,488475
"Adidas","Viscose",2020,2113,12,6443,1144,238,502228
"Urban Outfitters","Viscose",2022,2747,21,7684,1290,198,486773
"Zara","Microfiber",2018,3414,20,5766,771,320,506559
"Urban Outfitters","Synthetic_Blend",2022,2842,15,5722,1380,247,597554
"Adidas","Viscose",2022,4265,21,6244,700,227,495212
"Adidas","Microfiber",2022,4439,23,5809,1152,322,476020
"Forever 21","Linen",2019,2494,18,6111,1379,312,582335
"Nike","Nylon",2019,4342,16,7303,903,187,426402
"Urban Outfitters","Linen",2021,3798,13,6687,1404,151,447941
"Zara","Cotton",2021,4990,9,7509,1483,297,519714
"Urban Outfitters","Polyester",2020,4246,21,7495,1129,287,563165
"Urban Outfitters","Synthetic_Blend",2021,3866,11,5926,719,341,561405
"Zara","Organic_Cotton",2019,2362,10,7089,731,213,472261
"Zara","Viscose",2019,3754,13,5939,1385,179,567841
"Adidas","Nylon",2022,3789,12,6855,1491,227,599374
"Forever 21","Nylon",2022,2136,20,6182,1138,319,517142
"Zara","Tencel",2020,1903,22,7368,1201,177,533645
"Nike","Wool",2021,3053,22,4721,1451,283,590513
"Nike","Viscose",2022,5760,23,5784,1448,301,490358
"Forever 21","Wool",2021,4555,9,6024,1032,196,547808
"Nike","Viscose",2022,4118,12,7410,898,225,479633
"Urban Outfitters","Organic_Cotton",2019,2220,17,7854,1189,179,437129
"Adidas","Nylon",2022,5209,16,7177,1235,247,538099
"Zara","Cotton",2019,3967,11,4643,945,194,564701
"Forever 21","Wool",2019,5282,12,6230,930,315,459056
"Forever 21","Linen",2021,2458,10,7643,1142,338,504494
"Forever 21","Synthetic_Blend",2018,2548,16,7939,1390,297,573910
"Nike","Recycled_Poly",2022,5370,24,7969,793,270,511215
