Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment_Category
1,McDonald's,40412,4.90%,13846,-0.50%,Quick Service & Burger
2,Starbucks,21380,8.60%,15049,3.00%,Quick Service & Coffee Cafe
3,Chick-fil-A,11320,13.00%,2470,5.00%,Quick Service & Chicken
4,Taco Bell,11293,9.00%,6766,2.70%,Quick Service & Mexican
5,Burger King,10204,2.70%,7346,0.20%,Quick Service & Burger
6,Subway,10200,-2.00%,23801,-4.00%,Quick Service & Sandwich
7,Wendy's,9762,4.20%,5852,0.70%,Quick Service & Burger
8,Dunkin',9228,5.00%,9630,2.20%,Quick Service & Coffee Cafe
9,Domino's,7044,6.90%,6126,4.30%,Quick Service & Pizza
10,Panera Bread,5890,4.00%,2160,3.20%,Fast Casual & Bakery Cafe
11,Pizza Hut,5558,0.60%,7306,-2.40%,Quick Service & Pizza
12,Chipotle Mexican Grill,5509,14.80%,2584,5.30%,Fast Casual & Mexican
13,Sonic Drive-In,4687,4.60%,3526,-2.10%,Quick Service & Burger
14,KFC,4546,2.50%,4065,-0.20%,Quick Service & Chicken
15,Olive Garden,4287,5.00%,866,1.30%,Casual Dining & Italian/Pizza
16,NA,4085,-3.00%,1665,-1.70%,Casual Dining & Varied Menu
17,NA,3946,12.00%,2209,4.90%,Fast Casual & Asian/Noodle
18,NA,3884,1.90%,3359,0.90%,Quick Service & Sandwich
19,NA,3812,18.30%,2476,5.50%,Quick Service & Chicken
20,NA,3811,2.70%,4237,-0.60%,Quick Service & Pizza
21,Dairy Queen,3760,2.90%,4381,-0.60%,Quick Service & Frozen Desserts
22,Buffalo Wild Wings,3669,-0.10%,1206,-0.20%,Casual Dining & Sports Bar
23,Chili's Grill & Bar,3563,2.20%,1242,-0.70%,Casual Dining & Varied Menu
24,Jack in the Box,3504,1.10%,2243,NA,Quick Service & Burger
25,IHOP,3266,2.00%,1710,NA,Family Dining & Family Style
26,Texas Roadhouse,3016,11.00%,553,NA,Casual Dining & Steak
27,Denny's,2691,1.10%,1558,NA,Family Dining & Family Style
28,Papa John's,2638,-2.70%,3142,NA,Quick Service & Pizza
29,Outback Steakhouse,2635,0.90%,724,NA,Casual Dining & Steak
30,Whataburger,2556,5.80%,830,NA,Quick Service & Burger
31,Red Lobster,2490,1.60%,679,NA,Casual Dining & Seafood
32,Cracker Barrel,2482,1.80%,660,NA,Family Dining & Family Style
33,The Cheesecake Factory,2180,2.50%,206,NA,Casual Dining & Varied Menu
34,Jimmy John's Gourmet Sandwiches,2105,-1.60%,2787,NA,Fast Casual & Sandwich
35,Hardee's,2020,-4.00%,1820,NA,Quick Service & Burger
36,Zaxby's,1886,6.00%,910,1.30%,Fast Casual & Chicken
37,LongHorn Steakhouse,1867,6.30%,530,1.90%,Casual Dining & Steak
38,Culver's,1795,13.90%,732,6.70%,Quick Service & Burger
39,Golden Corral,1746,0.80%,NA,-1.20%,Quick Service & Family Casual
40,Five Guys Burgers and Fries,1661,7.40%,NA,0.70%,Fast Casual & Burger
41,Red Robin Gourmet Burgers and Brews,1548,-0.30%,NA,-3.00%,Casual Dining & Varied Menu
42,Raising Cane's Chicken Fingers,1466,23.80%,NA,14.30%,Fast Casual & Chicken
43,Carl's Jr.,1423,-2.50%,NA,-2.30%,Quick Service & Burger
44,Wingstop,1363,19.00%,NA,9.50%,Fast Casual & Chicken
45,Waffle House,1344,3.40%,NA,1.20%,Family Dining & Family Style
46,Jersey Mike's Subs,1340,16.70%,NA,11.60%,Fast Casual & Sandwich
47,Bojangles',1331,2.70%,NA,-1.30%,Quick Service & Chicken
48,BJ's Restaurant & Brewhouse,1161,4.00%,NA,3.00%,Casual Dining & Varied Menu
49,TGI Fridays,1085,-8.50%,NA,-7.90%,Casual Dining & Varied Menu
50,In-N-Out Burger,957,4.60%,NA,3.50%,Quick Service & Burger
51,Steak 'n Shake,950,-7.70%,NA,-3.00%,Quick Service & Burger
52,P.F. Chang's,917,1.40%,NA,0.00%,Casual Dining & Asian
53,Qdoba Mexican Eats,901,5.90%,NA,-2.90%,Fast Casual & Mexican
54,El Pollo Loco,894,3.00%,482,-0.40%,Quick Service & Chicken
55,Krispy Kreme,887,4.40%,364,4.00%,Quick Service & Snack
56,Hooters,858,0.40%,341,0.00%,Casual Dining & Sports Bar
57,Del Taco,850,4.00%,596,2.80%,Quick Service & Mexican
58,Firehouse Subs,832,4.80%,1155,1.90%,Fast Casual & Sandwich
59,Bob Evans,795,-4.20%,483,-1.40%,Family Dining & Family Style
60,Moe's Southwest Grill,749,2.00%,730,1.50%,Fast Casual & Mexican
61,Papa Murphy's Pizza,748,-5.90%,1329,-5.10%,Quick Service & Pizza
62,Ruby Tuesday,731,-11.40%,451,-8.10%,Casual Dining & Varied Menu
63,McAlister's Deli,725,7.00%,460,3.60%,Fast Casual & Sandwich
64,Cheddar's Scratch Kitchen,724,0.60%,175,2.90%,Casual Dining & Varied Menu
65,Church's Chicken,716,-5.20%,1032,-5.00%,Quick Service & Chicken
66,Tim Hortons,714,-3.50%,715,-1.70%,Quick Service & Coffee Cafe
67,Ruth's Chris Steak House,703,1.60%,135,1.50%,Steak
68,Carrabba's Italian Grill,653,-1.00%,225,-0.90%,Casual Dining & Italian/Pizza
69,Jason's Deli,647,-1.10%,283,1.80%,Fast Casual & Sandwich
70,Marco's Pizza,628,4.80%,915,3.60%,Quick Service & Pizza
71,Shake Shack,622,31.80%,173,27.20%,Fast Casual & Burger
72,California Pizza Kitchen,621,-3.30%,199,-0.50%,Casual Dining & Italian/Pizza
73,Baskin-Robbins,615,0.60%,2524,-1.00%,Quick Service & Frozen Desserts
74,Yard House,609,6.60%,79,9.70%,Casual Dining & Varied Menu
75,Bonefish Grill,587,-0.90%,197,0.00%,Casual Dining & Seafood
76,White Castle,579,2.40%,371,-0.50%,Quick Service & Burger
77,Tropical Smoothie Cafe,576,21.80%,834,16.00%,Quick Service & Beverage
78,Dave & Buster's,571,6.50%,132,10.90%,Sports Bar
79,Dutch Bros. Coffee,567,15.00%,369,13.20%,Quick Service & Coffee Cafe
80,Captain D's Seafood Kitchen,561,3.10%,540,2.10%,Quick Service & Seafood
81,Auntie Anne's,559,0.20%,1288,-0.50%,Quick Service & Snack
82,First Watch,558,35.10%,368,24.70%,Family Dining & Family Style
83,Perkins Restaurant & Bakery,541,-9.50%,309,-13.00%,Family Dining & Family Style
84,NA,535,12.90%,NA,NA,Fast Casual & Burger
85,Checkers Drive-In Restaurants,535,-1.80%,584,-0.20%,Quick Service & Burger
86,Noodles & Company,533,0.90%,457,-0.40%,Fast Casual & Asian/Noodle
87,Einstein Bros. Bagels,517,-2.10%,710,-2.60%,Quick Service & Bakery Cafe
88,Jamba,514,0.80%,767,-1.80%,Quick Service & Beverage
89,Portillo's,505,12.20%,62,8.80%,Fast Casual & Sandwich
90,Boston Market,501,-9.90%,390,-14.10%,Fast Casual & Chicken
91,The Habit Burger Grill,500,14.50%,273,10.50%,Fast Casual & Burger
92,Logan's Roadhouse,496,-3.70%,204,-1.00%,Casual Dining & Steak
93,MOD Pizza,483,23.80%,467,18.20%,Fast Casual & Pizza
94,Smoothie King,462,11.20%,972,8.00%,Quick Service & Beverage
95,Mellow Mushroom,461,-0.30%,187,-1.10%,Casual Dining & Italian/Pizza
96,The Capital Grille,461,4.70%,58,0.00%,Fine Dining & Steak
97,Round Table Pizza,450,1.30%,435,0.70%,Quick Service & Pizza
98,Miller's Ale House,446,10.20%,98,11.40%,Casual Dining & Sports Bar
99,Potbelly sandwich Shop,446,-2.50%,471,-1.50%,Quick Service & Sandwich
100,Hungry Howie's Pizza,439,7.00%,537,-2.40%,Quick Service & Pizza
101,Charleys Philly Steaks,435,4.90%,540,2.30%,Quick Service & Sandwich
102,Chuy's,426,7.10%,100,0.00%,Mexican
103,O'Charley's,426,-7.60%,196,-5.30%,Varied Menu
104,Pollo Tropical,425,-2.10%,174,3.00%,Chicken
105,Maggiano's Little Italy,417,1.10%,53,1.90%,Italian/Pizza
106,Cicis,410,-1.40%,420,0.70%,Pizza
107,Long John Silver's,404,-8.20%,850,-2.40%,Seafood
108,Saltgrass Steak House,402,14.90%,88,10.00%,Steak
